Date,Open,High,Low,Close,Volume,OpenInt,Name
2017-07-20,52.85,52.98,52.85,52.98,450000,0,btu_.us
2017-07-21,53.05,53.3,53.05,53.2,330000,0,btu_.us
2017-08-02,58.0,58.0,58.0,58.0,625,0,btu_.us
2017-08-15,63.79,63.79,63.79,63.79,100,0,btu_.us
2017-08-18,53.7,62.0,53.7,60.0,200,0,btu_.us
2017-08-22,60.0,60.0,60.0,60.0,100,0,btu_.us
2017-08-28,60.0,60.0,60.0,60.0,200,0,btu_.us
2017-09-22,57.25,57.75,57.25,57.75,100000,0,btu_.us
2017-10-04,57.0,57.25,57.0,57.25,87510,0,btu_.us
2017-10-06,57.125,57.375,57.125,57.375,50104,0,btu_.us
2017-10-12,55.93,56.25,55.93,56.25,2188,0,btu_.us
2017-10-13,61.88,61.88,59.52,59.52,200,0,btu_.us
2017-10-17,56.54,56.55,56.54,56.55,1140,0,btu_.us
2017-10-23,57.15,57.25,57.15,57.25,32000,0,btu_.us
2017-07-20,52.85,52.98,52.85,52.98,450000,0,btu_.us
2017-07-21,53.05,53.3,53.05,53.2,330000,0,btu_.us
2017-08-02,58.0,58.0,58.0,58.0,625,0,btu_.us
2017-08-15,63.79,63.79,63.79,63.79,100,0,btu_.us
2017-08-18,53.7,62.0,53.7,60.0,200,0,btu_.us
2017-08-22,60.0,60.0,60.0,60.0,100,0,btu_.us
2017-08-28,60.0,60.0,60.0,60.0,200,0,btu_.us
2017-09-22,57.25,57.75,57.25,57.75,100000,0,btu_.us
2017-10-04,57.0,57.25,57.0,57.25,87510,0,btu_.us
2017-10-06,57.125,57.375,57.125,57.375,50104,0,btu_.us
2017-10-12,55.93,56.25,55.93,56.25,2188,0,btu_.us
2017-10-13,61.88,61.88,59.52,59.52,200,0,btu_.us
2017-10-17,56.54,56.55,56.54,56.55,1140,0,btu_.us
2017-10-23,57.15,57.25,57.15,57.25,32000,0,btu_.us
